Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR12210293	SRR12210293.fastq	Conventional base calls	Sanger / Illumina 1.9	65869.0	0.0	8-499	52.0	2.8587043981235483	438.69264752766856	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210294	SRR12210294.fastq	Conventional base calls	Sanger / Illumina 1.9	77132.0	0.0	139-512	52.0	2.747238500233366	438.945638645439	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210295	SRR12210295.fastq	Conventional base calls	Sanger / Illumina 1.9	98861.0	0.0	143-518	51.0	10.383265392824269	432.37104621640486	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210296	SRR12210296.fastq	Conventional base calls	Sanger / Illumina 1.9	101545.0	0.0	8-485	51.0	9.930572652518588	431.7487714806243	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210297	SRR12210297.fastq	Conventional base calls	Sanger / Illumina 1.9	103209.0	0.0	8-511	51.0	9.436192580104448	431.2562179654875	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210298	SRR12210298.fastq	Conventional base calls	Sanger / Illumina 1.9	91777.0	0.0	8-536	50.0	2.363337219564815	440.9952166664851	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210299	SRR12210299.fastq	Conventional base calls	Sanger / Illumina 1.9	80351.0	0.0	8-489	51.0	2.430585804781521	439.00678274072504	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210300	SRR12210300.fastq	Conventional base calls	Sanger / Illumina 1.9	73227.0	0.0	8-497	51.0	2.5195624564709735	439.2274434293362	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210301	SRR12210301.fastq	Conventional base calls	Sanger / Illumina 1.9	97904.0	0.0	151-516	52.0	3.7444843928746527	439.07026270632457	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210302	SRR12210302.fastq	Conventional base calls	Sanger / Illumina 1.9	90115.0	0.0	7-483	52.0	3.891693946623759	439.49937302335906	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210303	SRR12210303.fastq	Conventional base calls	Sanger / Illumina 1.9	83092.0	0.0	159-497	51.0	2.5646271602561015	439.4297645982766	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210304	SRR12210304.fastq	Conventional base calls	Sanger / Illumina 1.9	62730.0	0.0	151-459	52.0	3.001753546947234	439.33540570699824	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
