study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB55595	SAMEA110745297	ERX9652168	ERR10115012	43778	Saguinus geoffroyi	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/012/ERR10115012/ERR10115012_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/012/ERR10115012/ERR10115012_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115012/CZ-MB130_S130_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115012/CZ-MB130_S130_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745298	ERX9652169	ERR10115013	9601	Pongo abelii	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/013/ERR10115013/ERR10115013_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/013/ERR10115013/ERR10115013_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115013/CZ-MB132_S132_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115013/CZ-MB132_S132_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745299	ERX9652170	ERR10115014	9601	Pongo abelii	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/014/ERR10115014/ERR10115014_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/014/ERR10115014/ERR10115014_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115014/CZ-MB133_S133_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115014/CZ-MB133_S133_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745300	ERX9652171	ERR10115015	36227	Cercopithecus neglectus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/015/ERR10115015/ERR10115015_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/015/ERR10115015/ERR10115015_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115015/CZ-MB134_S134_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115015/CZ-MB134_S134_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745301	ERX9652172	ERR10115016	9509	Ateles geoffroyi	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/016/ERR10115016/ERR10115016_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/016/ERR10115016/ERR10115016_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115016/CZ-MB14_S14_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115016/CZ-MB14_S14_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745302	ERX9652173	ERR10115017	43777	Pithecia pithecia	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/017/ERR10115017/ERR10115017_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/017/ERR10115017/ERR10115017_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115017/CZ-MB16_S16_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115017/CZ-MB16_S16_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745303	ERX9652174	ERR10115018	43777	Pithecia pithecia	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/018/ERR10115018/ERR10115018_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/018/ERR10115018/ERR10115018_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115018/CZ-MB17_S17_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115018/CZ-MB17_S17_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745304	ERX9652175	ERR10115019	87288	Eulemur flavifrons	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/019/ERR10115019/ERR10115019_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/019/ERR10115019/ERR10115019_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115019/CZ-MB19_S19_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115019/CZ-MB19_S19_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745305	ERX9652176	ERR10115020	881951	Saguinus imperator subgrisescens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/020/ERR10115020/ERR10115020_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/020/ERR10115020/ERR10115020_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115020/CZ-MB20_S20_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115020/CZ-MB20_S20_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745306	ERX9652177	ERR10115021	881951	Saguinus imperator subgrisescens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/021/ERR10115021/ERR10115021_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/021/ERR10115021/ERR10115021_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115021/CZ-MB21_S21_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115021/CZ-MB21_S21_L001_R2.fastq.gz	
